Loại,STT,Tên báo,DR,Traffic,Link Do,Giá,Note
Báo tỉnh/địa phương,1.0,https://baodanang.vn/,65.0,350264.0,2.0,850000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,2.0,https://baotayninh.vn,53.0,344200.0,2.0,700000.0,<800 từ + 3 ảnh/Tạm dưng nhận từ 20/08
Báo tỉnh/địa phương,2.0,https://baothainguyen.vn/,52.0,171000.0,2.0,1200000.0,<1000 từ + 3-5 ảnh- Tăng từ 1150k lên 1200k
Báo tỉnh/địa phương,4.0,https://baophutho.vn,46.0,201000.0,2.0,900000.0,<1000 từ + 3-5 ảnh - Tăng từ 850k ->900k
Báo tỉnh/địa phương,5.0,https://baohatinh.vn,70.0,2300000.0,2.0,950000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,6.0,https://baotuyenquang.com.vn/,53.0,103000.0,2.0,1000000.0,<1000 từ + 3-5 ảnh - Giảm từ 1150k về 1000k
Báo tỉnh/địa phương,7.0,https://baoangiang.com.vn,60.0,280956.0,2.0,1050000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,8.0,https://baodongnai.com.vn/,66.0,985000.0,2.0,1050000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,9.0,https://baolamdong.vn/,61.0,624000.0,2.0,1400000.0,<1000 từ + 3-5 ảnh - Tăng từ 1350 lên 1400
Báo tỉnh/địa phương,10.0,https://baothanhhoa.vn/,61.0,310015.0,2.0,1300000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,11.0,https://huengaynay.vn/,61.0,159000.0,2.0,1100000.0,"<1000 từ + 3-5 ảnh, Tạm dừng"
Báo tỉnh/địa phương,12.0,https://baocamau.vn/,36.0,149000.0,2.0,1150000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,13.0,https://baocantho.com.vn/,63.0,188280.0,2.0,1500000.0,<800 từ + 3-5 ảnh
Báo tỉnh/địa phương,14.0,https://baoquangninh.vn/,60.0,1400000.0,2.0,1350000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,15.0,https://baodienbienphu.com.vn/,,70900.0,2.0,850000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,16.0,https://baovinhlong.com.vn,,,2.0,900000.0,<1000 từ + 3-5 ảnh
Báo tỉnh/địa phương,17.0,https://baohungyen.vn/,,,2.0,800000.0,<1000 từ + 3-5 ảnh
Báo thường,1.0,https://plo.vn/,80.0,22000000.0,2.0,2450000.0,"<800 từ 2 ảnh ( bài 2 link no 2,2tr)"
Báo thường,2.0,http://vnmedia.vn/,70.0,238000.0,2.0,2100000.0,
Báo thường,3.0,https://tuoitrexahoi.vn/,35.0,52605.0,2.0,800000.0,
Báo thường,4.0,https://xahoi.com.vn/,51.0,122000.0,2.0,1650000.0,
Báo thường,5.0,https://www.bienphong.com.vn/,54.0,165000.0,2.0,1250000.0,Giảm từ 1500k ->1250k ngày 27/05
Báo thường,7.0,https://giadinhvaphapluat.vn/,61.0,11700.0,2.0,1200000.0,
Báo thường,8.0,https://lamchame.vn/,56.0,36000.0,2.0,1000000.0,
Báo thường,9.0,https://vietbao.vn/,72.0,1700000.0,2.0,1500000.0,1000 từ 
Báo thường,10.0,https://baoxaydung.com.vn/,73.0,837000.0,0.0,1750000.0,3 ảnh
Báo thường,11.0,https://thethaovanhoa.vn/,73.0,6200000.0,2.0,1620000.0,
Báo thường,12.0,https://www.xaluannews.com/,70.0,142800.0,0.0,1200000.0,Bài 0 link - Mua 1 link 300K
Báo thường,13.0,https://vietstock.vn/,75.0,3800000.0,2.0,1750000.0,Cần GPKD - 3 ảnh
Báo thường,14.0,https://www.phunuvagiadinh.vn/,64.0,410000.0,2.0,1650000.0,"<700 từ, bỏ phần thông tin liên hệ"
Báo thường,15.0,https://phapluatvacuocsong.vn/,45.0,23500.0,2.0,1200000.0,
Báo thường,16.0,https://hanghoathuonghieu.vn/,30.0,8100.0,2.0,1000000.0,
Báo thường,17.0,https://songdep.com.vn/,48.0,283000.0,2.0,600000.0,Dừng bán
Báo thường,18.0,https://nongthonvaphattrien.vn/,42.0,37000.0,2.0,800000.0,
Báo thường,19.0,https://suckhoeviet.org.vn/,44.0,36800.0,2.0,1450000.0,
Báo thường,20.0,https://suckhoevacongdong.com/,46.0,20000.0,2.0,850000.0,
Báo thường,21.0,https://kinhtevadautu.info/,43.0,15800.0,2.0,650000.0,
Báo thường,24.0,https://tieudungtiepthi.vn/,29.0,7000.0,2.0,900000.0,
Báo thường,25.0,https://nhipsongdothi.info/,33.0,4100.0,2.0,750000.0,
Báo thường,26.0,https://khoahoccuocsong.com/,30.0,2700.0,2.0,600000.0,
Báo thường,27.0,https://vanhoathoidai.vn/,26.0,1400.0,2.0,600000.0,
Báo thường,28.0,https://vietnamhuongsac.vn/,17.0,871.0,2.0,600000.0,
Báo thường,29.0,https://datnuoc.com.vn/,13.0,506.0,2.0,600000.0,
