Danh mục,STT,WEBSITE,DA,PA,DR,Organic Traffic,SỐ LINK,ĐƠN GIÁ,Note
Tin tổng hợp (đa ngành),1.0,Chanhtuoi.com,34.0,55.0,77.0,276k,2 link no,5000000.0,
Tin tổng hợp (đa ngành),2.0,Websosanh.vn,38.0,53.0,72.0,332k,3 link no,5200000.0,Chèn link do 1tr/link/năm
Tin tổng hợp (đa ngành),3.0,Bloganchoi.com,36.0,55.0,76.0,203k,2 link no,2200000.0,
Tin tổng hợp (đa ngành),4.0,Topaz.vn,23.0,39.0,50.0,12k8,2 link do,1200000.0,
Tin tổng hợp (đa ngành),5.0,Hanoireview.vn,10.0,13.0,11.0,,2 link do,1200000.0,
Tin tổng hợp (đa ngành),6.0,Quynhonreview.vn,11.0,17.0,13.0,6k6,2 link do,1200000.0,
Tin tổng hợp (đa ngành),7.0,Hellodanang.vn,,,29.0,12k,2 link do,1200000.0,
Tin tổng hợp (đa ngành),8.0,Saigonreview.vn,14.0,24.0,26.0,4k8,2 link do,1200000.0,
Tin tổng hợp (đa ngành),9.0,Dongnaireview.vn,,,,,2 link do,1200000.0,
Tin tổng hợp (đa ngành),10.0,Canthoreview.vn,,,18.0,487.0,2 link do,1200000.0,
Tin tổng hợp (đa ngành),11.0,Chonthuonghieu.com,,,7.0,320.0,2 link no,800000.0,"Không đăng bài dạng top:
- Top Công ty, doanh nghiệp
- Top brand
- Top sản phẩm
- Top website
- Top địa điểm"
Tin tổng hợp (đa ngành),12.0,Danhgiasao.com,28.0,32.0,19.0,668.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),13.0,Hcmtoplist.com,23.0,37.0,29.0,78k,2 link no,800000.0,
Tin tổng hợp (đa ngành),14.0,Hanoitoplist.com,20.0,34.0,24.0,38k,2 link no,800000.0,
Tin tổng hợp (đa ngành),15.0,Top10danang.com,30.0,38.0,48.0,41k,2 link no,800000.0,
Tin tổng hợp (đa ngành),16.0,Quangnamtoplist.com,16.0,25.0,2.0,204.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),17.0,Quangbinhtoplist.com,9.0,19.0,,658.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),18.0,Thaibinhtoplist.com,23.0,29.0,22.0,715.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),19.0,Bentretoplist.com,10.0,22.0,10.0,3k8,2 link no,800000.0,
Tin tổng hợp (đa ngành),20.0,Huetoplist.com,18.0,25.0,11.0,554.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),21.0,Phuthotoplist.com,27.0,32.0,,2k,2 link no,800000.0,
Tin tổng hợp (đa ngành),22.0,Angiangtoplist.com,26.0,31.0,,1k4,2 link no,800000.0,
Tin tổng hợp (đa ngành),23.0,Ngheantoplist.net,27.0,31.0,48.0,3k,2 link no,800000.0,
Tin tổng hợp (đa ngành),24.0,Thanhhoatoplist.com,1.0,14.0,46.0,1k7,2 link no,800000.0,
Tin tổng hợp (đa ngành),25.0,Binhduongtoplist.com ,,,10.0,404.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),26.0,Dongnaitoplist.com,,,,726.0,2 link no,800000.0,
Tin tổng hợp (đa ngành),27.0,Binhdinhtoplist.com,,,35.0,2k6,2 link no,800000.0,
Tin tổng hợp (đa ngành),28.0,Tiengiangtoplist.com,24.0,29.0,,,2 link no,800000.0,
Tin tổng hợp (đa ngành),29.0,Bacninhtoplist.com,31.0,30.0,,,2 link no,900000.0,
