Chủ đề,Từ khoá tổng,Nhóm từ khóa,Key có AIO,TOP lên AIO,Trang đích dự kiến,Volume,Phương án,URL Đúng,URL SERP,Đánh giá LP,Tối ưu nhanh,Now,2026-07-09 00:00:00,2026-07-02 00:00:00,2026-06-30 00:00:00,2026-06-29 00:00:00,2026-06-27 00:00:00,2026-06-25 00:00:00,2026-06-22 00:00:00,2026-06-06 00:00:00,2026-06-02 00:00:00,2026-05-26 00:00:00,2026-05-22 00:00:00,2026-05-12 00:00:00,2026-05-06 00:00:00,,,,,,,,,,
Phân bón lá,thuốc bortrac,bortrac yara,11,1,Sản phẩm,40,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/bortrac,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,
Phân bón lá,bortrac yara,bortrac yara,,,Sản phẩm,90,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/bortrac,Chưa có,"Title, meta",1,1,1,1,1,1,1,1,1,1,1,3,3,3,,,,,,,,,,
Thuốc điều hoà sinh trưởng,brightstar hợp trí,brightstar hợp trí,,,Sản phẩm,70,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thuốc trừ sâu,thuốc paclo hợp trí,brightstar hợp trí,5,2,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,thuốc điều hòa sinh trưởng hợp trí,brightstar hợp trí,8,1,Sản phẩm,30,,,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,Chưa có,,1,1,1,1,1,2,1,1,2,2,2,1,1,2,,,,,,,,,,
Thuốc điều hoà sinh trưởng,điều hòa sinh trưởng hợp trí,brightstar hợp trí,,,Sản phẩm,20,,,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/hop-tri-organo-forge-phan-bon-la-huu-co-co-chua-chat-dieu-hoa-sinh-truong-theo-cong-thuc-vang-1-1-2-can-doi-khoe-cay-ben-cay,Chưa có,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,casi hợp trí,casi hợp trí,,,Sản phẩm,480,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-casi,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,hợp trí casi,casi hợp trí,,,Sản phẩm,140,,,https://www.hoptrisummit.com/san-pham/dinh-duong-cay-trong/phan-bon-la/hop-tri-casi,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Quy trình,quy trình sầu riêng hợp trí,Chăm sóc - cây trồng - sầu riêng,5,3,Bài viết,20,,,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/ky-thuat-cham-soc-va-phong-tru-sau-benh-hai-sau-rieng,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,công ty cổ phần hợp trí summit,công ty cổ phần hợp trí summit,,,Trang chủ,320,,,https://www.hoptrisummit.com/gioi-thieu,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Thương hiệu,công ty hợp trí,công ty cổ phần hợp trí summit,,,Trang chủ,260,,,https://www.hoptrisummit.com/,Chưa có,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
